"Species","Total_freq","Early","Mid","Late","Class","Order","Family","Sp"
"Spp258",2,8.3,0,0,"Insecta","Lepidoptera","Gelechiidae","Coleotechnites.thujaella"
"Spp268",2,4.2,0,3.1,"Insecta","Hemiptera","Aphididae","Phyllaphis.fagi"
"Spp281",2,8.3,0,0,"Insecta","Diptera","Sciaridae","Cratyna.perplexa"
"Spp282",2,4.2,0,3.1,"Insecta","Lepidoptera","Crambidae","Palpita.magniferalis"
"Spp287",2,0,6.5,0,"Insecta","Diptera","Tipulidae",""
"Spp294",2,4.2,3.2,0,"Insecta","Lepidoptera","Tortricidae","Thyraylia.nana"
"Spp297",2,0,0,6.2,"Collembola","Poduromorpha","Hypogastruridae",""
"Spp299",2,4.2,3.2,0,"Insecta","Diptera","Clusiidae","Clusia.czernyi"
"Spp300",2,8.3,0,0,"Insecta","Lepidoptera","Incurvariidae","Paraclemensia.acerifoliella"
"Spp306",2,8.3,0,0,"Insecta","Diptera","Cecidomyiidae","Lestremia.cinerea"
"Spp314",2,4.2,0,3.1,"Arachnida","Araneae","Araneidae",""
"Spp315",2,0,6.5,0,"Insecta","Diptera","Tachinidae","Ceromya.oriens"
"Spp316",2,4.2,3.2,0,"Insecta","Lepidoptera","Coleophoridae","Coleophora.pruniella"
"Spp328",2,4.2,0,3.1,"Arachnida","Trombidiformes","Eupodidae",""
"Spp341",2,8.3,0,0,"Insecta","Diptera","Limoniidae","Ormosia.sp..BOLDACA9663"
"Spp357",2,4.2,3.2,0,"Insecta","Lepidoptera","Erebidae","Hypenodes.n..sp..4"
"Spp361",2,0,0,6.2,"Insecta","Diptera","Muscidae","Phaonia.apicata"
"Spp364",2,0,3.2,3.1,"Insecta","Diptera","Hybotidae","Hybos.reversus"
"Spp376",2,0,0,6.2,"Insecta","Diptera","Pipunculidae","Cephalops.pallidivittipes"
"Spp378",2,0,6.5,0,"Insecta","Psocodea","Lepidopsocidae","Echmepteryx.hageni"
"Spp381",2,4.2,3.2,0,"Insecta","Diptera","Pipunculidae","Elmohardyia.atlantica"
"Spp384",2,0,6.5,0,"Insecta","Lepidoptera","Crambidae","Anageshna.primordialis"
"Spp387",2,0,6.5,0,"Insecta","Hemiptera","Miridae","Phytocoris.sp"
"Spp391",2,8.3,0,0,"Insecta","Diptera","Tachinidae","Hyphantrophaga.virilis"
"Spp393",2,8.3,0,0,"Insecta","Diptera","Empididae","Rhamphomyia.umbrosa"
"Spp4",1,0,3.2,0,"Insecta","Hymenoptera","",""
"Spp7",1,4.2,0,0,"Insecta","Lepidoptera","Geometridae","Nemoria.mimosaria"
"Spp8",1,0,3.2,0,"Insecta","Diptera","Hybotidae",""
"Spp11",1,4.2,0,0,"Insecta","Diptera","Culicidae","Aedes.punctor"
"Spp14",1,0,0,3.1,"Insecta","Diptera","Therevidae","Spiriverpa.albiceps"
"Spp21",1,0,3.2,0,"Insecta","Coleoptera","Staphylinidae","Lathrobium.simile"
"Spp24",1,0,3.2,0,"Insecta","Hemiptera","Miridae",""
"Spp34",1,4.2,0,0,"Insecta","Lepidoptera","Crambidae","Scoparia.cinereomedia"
"Spp39",1,0,0,3.1,"Insecta","Diptera","Limoniidae","Discobola.annulata"
"Spp41",1,0,0,3.1,"Arachnida","Trombidiformes","Tarsonemidae",""
"Spp42",1,4.2,0,0,"Insecta","Hemiptera","Miridae",""
"Spp45",1,0,0,3.1,"Insecta","Hemiptera","Cicadellidae",""
"Spp50",1,0,0,3.1,"Insecta","Diptera","Limoniidae",""
"Spp52",1,0,3.2,0,"Insecta","Lepidoptera","Tineidae","Pelecystola.nearctica"
"Spp55",1,4.2,0,0,"Insecta","Lepidoptera","Tortricidae","Clepsis.virescana"
"Spp56",1,0,0,3.1,"Insecta","Diptera","Tachinidae","Oswaldia.albifacies"
"Spp62",1,4.2,0,0,"Insecta","Blattodea","Ectobiidae",""
"Spp64",1,0,3.2,0,"Insecta","Hymenoptera","Ichneumonidae","Dusona.diversa"
"Spp67",1,0,0,3.1,"Insecta","Coleoptera","Curculionidae","Otiorhynchus.singularis"
"Spp71",1,0,0,3.1,"Insecta","Psocodea","Psocidae","Trichadenotecnum.majus"
"Spp75",1,4.2,0,0,"Insecta","Lepidoptera","Gracillariidae","Phyllonorycter.maestingella"
"Spp77",1,4.2,0,0,"Insecta","Lepidoptera","Tortricidae",""
"Spp80",1,0,0,3.1,"Arachnida","Araneae","Theridiidae","Rugathodes.sexpunctatus"
"Spp82",1,0,0,3.1,"Insecta","Hymenoptera","Ichneumonidae",""
"Spp85",1,0,0,3.1,"Insecta","Diptera","Tachinidae","Campylocheta.teliosis"
"Spp87",1,4.2,0,0,"Insecta","Diptera","Drosophilidae",""
"Spp89",1,4.2,0,0,"Arachnida","Araneae","Thomisidae","Xysticus.punctatus"
"Spp90",1,0,0,3.1,"Insecta","Coleoptera","Elateridae","Athous.neacanthus"
"Spp91",1,4.2,0,0,"Arachnida","Araneae","Linyphiidae","Grammonota.angusta"
"Spp93",1,4.2,0,0,"Arachnida","Araneae","Linyphiidae","Pityohyphantes.cristatus"
"Spp94",1,0,3.2,0,"Insecta","Diptera","Mycetophilidae","Mycomya.pulchella"
"Spp95",1,4.2,0,0,"Insecta","Lepidoptera","Gelechiidae","Coleotechnites.quercivorella"
"Spp97",1,0,0,3.1,"Insecta","Diptera","Hybotidae","Tachypeza.fenestrata"
"Spp98",1,0,3.2,0,"Insecta","Lepidoptera","Drepanidae","Drepana.arcuata"
"Spp101",1,4.2,0,0,"Insecta","Plecoptera","Chloroperlidae",""
"Spp102",1,4.2,0,0,"Insecta","Diptera","Cecidomyiidae","Coccopsilis.paneliusi"
"Spp103",1,4.2,0,0,"Insecta","Diptera","Tachinidae",""
"Spp108",1,0,3.2,0,"Arachnida","Mesostigmata","Ameroseiidae",""
"Spp109",1,4.2,0,0,"Arachnida","Araneae","Theridiidae","Dipoena.nigra"
"Spp110",1,0,0,3.1,"Insecta","Diptera","Mycetophilidae",""
"Spp111",1,4.2,0,0,"Insecta","Lepidoptera","Gelechiidae","Sinoe.chambersi"
"Spp115",1,4.2,0,0,"Insecta","Hymenoptera","Ichneumonidae",""
"Spp118",1,0,0,3.1,"Insecta","Diptera","Sciaridae",""
"Spp119",1,0,3.2,0,"Insecta","Diptera","Phoridae","Megaselia.lutea"
"Spp123",1,0,3.2,0,"Insecta","Coleoptera","Cerambycidae","Urgleptes.querci"
"Spp137",1,4.2,0,0,"Diplopoda","Julida","Parajulidae",""
"Spp138",1,4.2,0,0,"Insecta","Diptera","Chironomidae",""
"Spp143",1,4.2,0,0,"Insecta","Hymenoptera","Formicidae","Lasius.alienus"
"Spp145",1,4.2,0,0,"Insecta","Lepidoptera","Geometridae","Hethemia.pistasciaria"
"Spp146",1,4.2,0,0,"Insecta","Neuroptera","Hemerobiidae","Sympherobius.amiculus"
"Spp148",1,0,0,3.1,"Insecta","Psocodea","Caeciliusidae",""
"Spp152",1,4.2,0,0,"Insecta","Diptera","Agromyzidae",""
"Spp153",1,0,0,3.1,"","","",""
"Spp154",1,4.2,0,0,"Insecta","Lepidoptera","Tortricidae","Ancylis.burgessiana"
"Spp155",1,0,3.2,0,"Insecta","Diptera","Limoniidae","Epiphragma.fasciapenne"
"Spp156",1,4.2,0,0,"Insecta","Hymenoptera","Ichneumonidae","Lissonota.sexcincta"
"Spp163",1,4.2,0,0,"Insecta","Coleoptera","Curculionidae","Piazorhinus.scutellaris"
"Spp167",1,0,3.2,0,"Insecta","Diptera","Anthomyiidae","Pegomya.geniculata"
"Spp168",1,0,3.2,0,"Insecta","Hemiptera","Miridae","Phytocoris.neglectus"
"Spp171",1,0,3.2,0,"Insecta","Diptera","Pediciidae",""
"Spp173",1,0,3.2,0,"Insecta","Diptera","Tachinidae",""
"Spp174",1,0,3.2,0,"Insecta","Diptera","Tachinidae","Epalpus.signifer"
"Spp175",1,0,3.2,0,"Insecta","Lepidoptera","Geometridae","Cladara.limitaria"
"Spp177",1,4.2,0,0,"Insecta","Diptera","Tachinidae",""
"Spp179",1,4.2,0,0,"Insecta","Lepidoptera","Gelechiidae","Chionodes.fuscomaculella"
"Spp180",1,4.2,0,0,"Insecta","Coleoptera","Pyrochroidae","Dendroides.canadensis"
"Spp181",1,0,3.2,0,"Insecta","Diptera","Lauxaniidae",""
"Spp186",1,0,0,3.1,"Insecta","Diptera","Chironomidae",""
"Spp188",1,0,0,3.1,"Insecta","Lepidoptera","Geometridae","Metarranthis.angularia"
"Spp190",1,0,0,3.1,"Insecta","Diptera","Mycetophilidae","Allocotocera.pulchella"
"Spp193",1,4.2,0,0,"Insecta","Hemiptera","Miridae","Tropidosteptes.amoenus"
"Spp194",1,0,3.2,0,"Arachnida","Araneae","Dictynidae","Dictyna.brevitarsa"
"Spp197",1,0,3.2,0,"Insecta","Diptera","Culicidae","Aedes.canadensis"
"Spp201",1,4.2,0,0,"Insecta","Diptera","Drosophilidae","Drosophila.affinis"
"Spp205",1,0,0,3.1,"Insecta","Neuroptera","Coniopterygidae",""
"Spp206",1,0,0,3.1,"Insecta","Diptera","Tachinidae","Oswaldia.minor"
"Spp207",1,0,0,3.1,"Insecta","Diptera","Rhagionidae",""
"Spp211",1,0,0,3.1,"Arachnida","Sarcoptiformes","Cymbaeremaeidae",""
"Spp213",1,0,3.2,0,"Insecta","Diptera","Mycetophilidae","Rondaniella.dimidiata"
"Spp214",1,0,0,3.1,"Insecta","Diptera","Limoniidae","Molophilus.fultonensis"
"Spp215",1,0,0,3.1,"Insecta","Diptera","Scathophagidae",""
"Spp216",1,0,3.2,0,"Insecta","Lepidoptera","Autostichidae","Glyphidocera.septentrionella"
"Spp218",1,4.2,0,0,"Insecta","Hymenoptera","Braconidae",""
"Spp219",1,4.2,0,0,"Insecta","Lepidoptera","Tortricidae",""
"Spp222",1,0,3.2,0,"Insecta","Hymenoptera","Braconidae",""
"Spp223",1,0,0,3.1,"Insecta","Diptera","Rhagionidae",""
"Spp226",1,0,0,3.1,"Insecta","Coleoptera","Carabidae","Gastrellarius.honestus"
"Spp231",1,0,3.2,0,"Arachnida","Araneae","Theridiidae","Enoplognatha.ovata"
"Spp233",1,0,3.2,0,"Insecta","Diptera","Chironomidae",""
"Spp234",1,0,0,3.1,"Arachnida","Trombidiformes","Bdellidae",""
"Spp235",1,0,0,3.1,"Insecta","Lepidoptera","Gelechiidae","Phthorimaea.operculella"
"Spp237",1,0,3.2,0,"Insecta","Diptera","Anthomyiidae",""
"Spp250",1,0,0,3.1,"Insecta","Coleoptera","Mordellidae",""
"Spp255",1,4.2,0,0,"Insecta","Lepidoptera","Tortricidae","Proteoteras.moffatiana"
"Spp256",1,4.2,0,0,"Arachnida","Sarcoptiformes","Parakalummidae",""
"Spp257",1,0,3.2,0,"Insecta","Hemiptera","Miridae",""
"Spp259",1,0,0,3.1,"Insecta","Hymenoptera","Ichneumonidae","Gelis.sp"
"Spp261",1,0,3.2,0,"Insecta","Diptera","Limoniidae",""
"Spp262",1,0,3.2,0,"Insecta","Diptera","Lauxaniidae","Poecilolycia.aspinosa"
"Spp263",1,4.2,0,0,"Arachnida","Araneae","Theridiidae","Yunohamella.lyrica"
"Spp264",1,0,0,3.1,"Insecta","Diptera","Ceratopogonidae",""
"Spp267",1,0,3.2,0,"Insecta","Diptera","Culicidae","Aedes.intrudens"
