"Family","Total_freq","Early","Mid","Late","Class","Order"
"Psychidae",4,0,12.9,0,"Insecta","Lepidoptera"
"Staphylinidae",4,8.3,3.2,3.1,"Insecta","Coleoptera"
"Aphididae",3,4.2,0,6.2,"Insecta","Hemiptera"
"Ceratopogonidae",3,0,0,9.4,"Insecta","Diptera"
"Hemerobiidae",3,4.2,6.5,0,"Insecta","Neuroptera"
"Lasiocampidae",3,4.2,6.5,0,"Insecta","Lepidoptera"
"Leuctridae",3,12.5,0,0,"Insecta","Plecoptera"
"Reduviidae",3,8.3,0,3.1,"Insecta","Hemiptera"
"Simuliidae",3,4.2,3.2,3.1,"Insecta","Diptera"
"Tabanidae",3,8.3,0,3.1,"Insecta","Diptera"
"Xylophagidae",3,4.2,0,6.2,"Insecta","Diptera"
"Amaurobiidae",2,4.2,0,3.1,"Arachnida","Araneae"
"Anthomyiidae",2,0,6.5,0,"Insecta","Diptera"
"Argyresthiidae",2,0,3.2,3.1,"Insecta","Lepidoptera"
"Bibionidae",2,8.3,0,0,"Insecta","Diptera"
"Caddidae",2,0,0,6.2,"Arachnida","Opiliones"
"Caeciliusidae",2,0,3.2,3.1,"Insecta","Psocodea"
"Clusiidae",2,4.2,3.2,0,"Insecta","Diptera"
"Coccinellidae",2,4.2,0,3.1,"Insecta","Coleoptera"
"Coleophoridae",2,4.2,3.2,0,"Insecta","Lepidoptera"
"Cybaeidae",2,0,0,6.2,"Arachnida","Araneae"
"Dolichopodidae",2,0,6.5,0,"Insecta","Diptera"
"Drosophilidae",2,8.3,0,0,"Insecta","Diptera"
"Eupodidae",2,4.2,0,3.1,"Arachnida","Trombidiformes"
"Hypogastruridae",2,0,0,6.2,"Collembola","Poduromorpha"
"Incurvariidae",2,8.3,0,0,"Insecta","Lepidoptera"
"Iteaphila.group",2,8.3,0,0,"Insecta","Diptera"
"Lauxaniidae",2,0,6.5,0,"Insecta","Diptera"
"Lepidopsocidae",2,0,6.5,0,"Insecta","Psocodea"
"Myopsocidae",2,0,0,6.2,"Insecta","Psocodea"
"Peloppiidae",2,0,0,6.2,"Arachnida","Sarcoptiformes"
"Pergidae",2,4.2,0,3.1,"Insecta","Hymenoptera"
"Tenebrionidae",2,8.3,0,0,"Insecta","Coleoptera"
"Thomisidae",2,4.2,3.2,0,"Arachnida","Araneae"
"Tineidae",2,0,3.2,3.1,"Insecta","Lepidoptera"
"Agromyzidae",1,4.2,0,0,"Insecta","Diptera"
"Ameroseiidae",1,0,3.2,0,"Arachnida","Mesostigmata"
"Argidae",1,0,0,3.1,"Insecta","Hymenoptera"
"Asilidae",1,0,3.2,0,"Insecta","Diptera"
"Autostichidae",1,0,3.2,0,"Insecta","Lepidoptera"
"Axymyiidae",1,4.2,0,0,"Insecta","Diptera"
"Bdellidae",1,0,0,3.1,"Arachnida","Trombidiformes"
"Buprestidae",1,0,3.2,0,"Insecta","Coleoptera"
"Calliphoridae",1,0,0,3.1,"Insecta","Diptera"
"Carabidae",1,0,0,3.1,"Insecta","Coleoptera"
"Cerambycidae",1,0,3.2,0,"Insecta","Coleoptera"
"Chloroperlidae",1,4.2,0,0,"Insecta","Plecoptera"
"Coniopterygidae",1,0,0,3.1,"Insecta","Neuroptera"
"Cymbaeremaeidae",1,0,0,3.1,"Arachnida","Sarcoptiformes"
"Drepanidae",1,0,3.2,0,"Insecta","Lepidoptera"
"Dryinidae",1,0,0,3.1,"Insecta","Hymenoptera"
"Ectobiidae",1,4.2,0,0,"Insecta","Blattodea"
"Formicidae",1,4.2,0,0,"Insecta","Hymenoptera"
"Mesopsocidae",1,0,0,3.1,"Insecta","Psocodea"
"Mordellidae",1,0,0,3.1,"Insecta","Coleoptera"
"Nepticulidae",1,4.2,0,0,"Insecta","Lepidoptera"
"Nolidae",1,0,3.2,0,"Insecta","Lepidoptera"
"Parajulidae",1,4.2,0,0,"Diplopoda","Julida"
"Parakalummidae",1,4.2,0,0,"Arachnida","Sarcoptiformes"
"Pediciidae",1,0,3.2,0,"Insecta","Diptera"
"Phoridae",1,0,3.2,0,"Insecta","Diptera"
"Phthiracaridae",1,0,0,3.1,"Arachnida","Sarcoptiformes"
"Platygastridae",1,0,3.2,0,"Insecta","Hymenoptera"
"Ptinidae",1,0,3.2,0,"Insecta","Coleoptera"
"Pyrochroidae",1,4.2,0,0,"Insecta","Coleoptera"
"Rhyparochromidae",1,4.2,0,0,"Insecta","Hemiptera"
"Salticidae",1,4.2,0,0,"Arachnida","Araneae"
"Scarabaeidae",1,0,0,3.1,"Insecta","Coleoptera"
"Scathophagidae",1,0,0,3.1,"Insecta","Diptera"
"Syrphidae",1,0,3.2,0,"Insecta","Diptera"
"Tarsonemidae",1,0,0,3.1,"Arachnida","Trombidiformes"
"Therevidae",1,0,0,3.1,"Insecta","Diptera"
"Tomoceridae",1,0,0,3.1,"Collembola","Entomobryomorpha"
